"year","offense","admissions","standing"
1994,"drug",15378,48416
1995,"drug",13780,50553
1996,"drug",15587,53111
1997,"drug",17054,56340
1998,"drug",18333,60397
1999,"drug",21042,65438
2000,"drug",21499,69797
2001,"drug",22314,73489
2002,"drug",22740,77070
2003,"drug",23653,81436
2004,"drug",22538,83833
2005,"drug",22514,86151
2006,"drug",23311,89548
2007,"drug",23172,93247
2008,"drug",22204,92647
2009,"drug",22041,96145
2010,"drug",20883,96293
2011,"drug",22970,98437
2012,"drug",22981,97741
2013,"drug",22292,97524
2014,"drug",20859,95305
1994,"immigration",5201,2309
1995,"immigration",5582,3259
1996,"immigration",5948,4292
1997,"immigration",6929,5229
1998,"immigration",8939,7032
1999,"immigration",10853,9551
2000,"immigration",12013,12960
2001,"immigration",11937,14136
2002,"immigration",10309,14617
2003,"immigration",11351,15728
2004,"immigration",14217,17728
2005,"immigration",16650,19325
2006,"immigration",17497,19131
2007,"immigration",18019,19580
2008,"immigration",18958,19540
2009,"immigration",21727,21873
2010,"immigration",20649,21312
2011,"immigration",22917,24056
2012,"immigration",22057,23000
2013,"immigration",21705,22445
2014,"immigration",19873,19741
1994,"sex",193,603
1995,"sex",256,682
1996,"sex",288,781
1997,"sex",375,920
1998,"sex",398,1004
1999,"sex",459,1174
2000,"sex",594,1323
2001,"sex",578,1447
2002,"sex",661,1652
2003,"sex",739,1883
2004,"sex",854,2301
2005,"sex",1029,2732
2006,"sex",1273,3327
2007,"sex",1562,4252
2008,"sex",1932,5461
2009,"sex",2189,6797
2010,"sex",2249,8082
2011,"sex",2268,9137
2012,"sex",2414,10266
2013,"sex",2387,11165
2014,"sex",2467,12061
1994,"total",41793,82542
1995,"total",39953,86731
1996,"total",42323,90922
1997,"total",45621,96722
1998,"total",50784,104833
1999,"total",55524,114205
2000,"total",57899,123757
2001,"total",59554,130800
2002,"total",60196,137229
2003,"total",64363,146377
2004,"total",66292,153497
2005,"total",69417,160306
2006,"total",73049,166694
2007,"total",70813,174210
2008,"total",70868,176576
2009,"total",73545,186082
2010,"total",71270,188039
2011,"total",76313,195683
2012,"total",76325,196813
2013,"total",75281,198425
2014,"total",71437,194447
1994,"weapon",2411,6337
1995,"weapon",2258,7031
1996,"weapon",2177,7285
1997,"weapon",2085,7687
1998,"weapon",2344,8242
1999,"weapon",2547,8961
2000,"weapon",3074,9861
2001,"weapon",3767,11246
2002,"weapon",4224,12700
2003,"weapon",5339,14786
2004,"weapon",6502,18335
2005,"weapon",7127,20872
2006,"weapon",7160,22917
2007,"weapon",6839,24534
2008,"weapon",6699,25788
2009,"weapon",6694,27094
2010,"weapon",6351,27657
2011,"weapon",6433,28341
2012,"weapon",6536,28769
2013,"weapon",6653,29135
2014,"weapon",6592,29495
1994,"other",18610,24877
1995,"other",18077,25206
1996,"other",18323,25453
1997,"other",19178,26546
1998,"other",20770,28158
1999,"other",20623,29081
2000,"other",20719,29816
2001,"other",20958,30482
2002,"other",22262,31190
2003,"other",23281,32544
2004,"other",22181,31300
2005,"other",22097,31226
2006,"other",23808,31771
2007,"other",21221,32597
2008,"other",21075,33140
2009,"other",20894,34173
2010,"other",21138,34695
2011,"other",21725,35712
2012,"other",22337,37037
2013,"other",22244,38156
2014,"other",21646,37845
